"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","65","countsOnlyShippedOrders()","","Fri Jul 10 07:50:21 UTC 2026","passed","Fri Jul 10 07:50:21 UTC 2026","","com.ust.sdet.tests.OrderTest","com.ust.sdet.tests.OrderTest","countsOnlyShippedOrders"
"","62","countsOrders()","","Fri Jul 10 07:50:21 UTC 2026","failed","Fri Jul 10 07:50:21 UTC 2026","","com.ust.sdet.tests.OrderTest","com.ust.sdet.tests.OrderTest","countsOrders"
"","38","findsOrderBySku()","","Fri Jul 10 07:50:21 UTC 2026","passed","Fri Jul 10 07:50:21 UTC 2026","","com.ust.sdet.tests.OrderTest","com.ust.sdet.tests.OrderTest","findsOrderBySku"
"","123","createsOrder()","","Fri Jul 10 07:50:20 UTC 2026","passed","Fri Jul 10 07:50:20 UTC 2026","","com.ust.sdet.tests.OrderTest","com.ust.sdet.tests.OrderTest","createsOrder"
